,title,company,link,job_desc,job_func,location,job_type,source
41,Back End Developer,LeapFroggr Inc.,https://www.kalibrr.com/c/leapfroggr-inc/jobs/65701/back-end-developer,"The position is responsible for the server side of web applications logic and integrations. The person should be able to develop and maintain functional and stable web applications to meet the company’s needs.Responsibilities	Participate in the entire application lifecycle, focusing on coding and debugging	Write clean code to develop functional web applications	Troubleshoot and debug applications	Perform tests to optimize performance	Collaborate with Front-end developers to integrate user-facing elements with server side logic	Gather and address technical and design requirements	Follow emerging technologies	Liaise with developers, designers, and system administrators to identify new featuresThe position is responsible for the server side of web applications logic and integrations. The person should be able to develop and maintain functional and stable web applications to meet the company’s needs.Responsibilities	Participate in the entire application lifecycle, focusing on coding and debugging	Write clean code to develop functional web applications	Troubleshoot and debug applications	Perform tests to optimize performance	Collaborate with Front-end developers to integrate user-facing elements with server side logic	Gather and address technical and design requirements	Follow emerging technologies	Liaise with developers, designers, and system administrators to identify new features	Bachelor’s Degree in Computer Science or related field;	Min of 1 yr web development experience required;	Proven work experience as a Back-end developer;	In-depth understanding of the entire web development process (design, development and deployment);	Hands on experience with programming languages like C#, ASP.NET, NodeJS, JavaScript, AngularJS;	Working knowledge of ASP.NET MVC Framework;	Familiarity with front-end languages (e.g. HTML, JavaScript and CSS);	Excellent analytical and time management skills;	Teamwork skills with a problem-solving attitude	Bachelor’s Degree in Computer Science or related field;	Min of 1 yr web development experience required;	Proven work experience as a Back-end developer;	In-depth understanding of the entire web development process (design, development and deployment);	Hands on experience with programming languages like C#, ASP.NET, NodeJS, JavaScript, AngularJS;	Working knowledge of ASP.NET MVC Framework;	Familiarity with front-end languages (e.g. HTML, JavaScript and CSS);	Excellent analytical and time management skills;	Teamwork skills with a problem-solving attitudeHire NowSign UpLogin",Information Technology,"Manila City, National Capital Region (NCR)",Full-time,Kalibrr
42,.NET Software Developer,"SG APAC, Inc.",https://www.kalibrr.com/c/sg-interactive-inc/jobs/253486/net-software-developer,".NET Software DeveloperRelated Titles: .NET Developer | Software Engineer (.NET/C#) | Application Developer (.NET) Bring Ideas to Life. Work with Global Brands. Grow with SlideGenius.Are you ready to build a career where creativity meets purpose? About SlideGeniusSlideGenius is the leading global Presentation Design Agency, trusted by over 5,000 clients worldwide, including industry giants such as Adidas, Autodesk, Illumina, J.P. Morgan, Meta, MetLife, and Pepsi. With headquarters in San Diego, California, and offices in London, Makati, and Bacolod, we operate around the clock, delivering exceptional presentation design solutions across industries.Our Makati office works directly with our global teams, contributing to exciting and high-profile projects every day. We operate 24/7, offering flexible shift options for dynamic and motivated professionals. Position OverviewWe are seeking a highly skilled and versatile .NET Engineer to join our newly formed technology development team. The successful candidate will have strong expertise in C#, .NET, HTML, CSS, and demonstrated proficiency in software development. You will play a key role in designing, developing, and maintaining robust, high-performance applications, integrating tools with Microsoft SharePoint, building customized add-ins for MS PowerPoint using VBA, and automating business processes using Microsoft Power Automate.This position requires knowledge of modern web technologies, including JSON, jQuery, and AngularJS, along with the ability to bridge legacy and contemporary systems effectively..NET Software DeveloperRelated Titles: .NET Developer | Software Engineer (.NET/C#) | Application Developer (.NET) Bring Ideas to Life. Work with Global Brands. Grow with SlideGenius.Are you ready to build a career where creativity meets purpose? About SlideGeniusSlideGenius is the leading global Presentation Design Agency, trusted by over 5,000 clients worldwide, including industry giants such as Adidas, Autodesk, Illumina, J.P. Morgan, Meta, MetLife, and Pepsi. With headquarters in San Diego, California, and offices in London, Makati, and Bacolod, we operate around the clock, delivering exceptional presentation design solutions across industries.Our Makati office works directly with our global teams, contributing to exciting and high-profile projects every day. We operate 24/7, offering flexible shift options for dynamic and motivated professionals. Position OverviewWe are seeking a highly skilled and versatile .NET Engineer to join our newly formed technology development team. The successful candidate will have strong expertise in C#, .NET, HTML, CSS, and demonstrated proficiency in software development. You will play a key role in designing, developing, and maintaining robust, high-performance applications, integrating tools with Microsoft SharePoint, building customized add-ins for MS PowerPoint using VBA, and automating business processes using Microsoft Power Automate.This position requires knowledge of modern web technologies, including JSON, jQuery, and AngularJS, along with the ability to bridge legacy and contemporary systems effectively.Key Responsibilities:	Develop, enhance, and maintain high-quality software applications using C#/.NET framework, adhering to best practices and delivering optimal performance.		Create visually appealing, responsive user interfaces using HTML, CSS, and client-side scripting technologies, including jQuery and AngularJS.			Integrate applications and custom-developed tools seamlessly within Microsoft SharePoint environments, enhancing user experience and business productivity.			Utilize VBA to develop custom MS PowerPoint add-ins, enabling advanced functionality, automations, and integrations tailored to business requirements.			Leverage Microsoft Power Automate to design and implement robust workflow automation, streamlining business processes and reducing manual workload.			Parse, consume, and manipulate data using JSON to facilitate smooth data interchange and integration between various software components.			Collaborate closely with project managers, business analysts, UI/UX designers, and cross-functional teams to translate business needs into technical solutions.			Identify, troubleshoot, and resolve technical issues promptly, providing ongoing support, debugging, and continuous improvement of applications.	 Qualifications and Skills:		Bachelor's degree in Computer Science, Software Engineering, Information Technology, or related discipline.			At least 1-2 years of software development experience with strong proficiency in C#, .NET, HTML, and CSS.			Demonstrable experience working with client-side technologies such as jQuery, AngularJS, and data interchange formats such as JSON.			Proven experience in building add-ins or automation tools for Microsoft PowerPoint using VBA.			Strong knowledge and practical experience integrating custom-built solutions into Microsoft SharePoint environments.			Hands-on experience with workflow automation, especially using Microsoft Power Automate.			Ability to manage multiple projects concurrently, balancing priorities effectively and delivering results under tight deadlines.			Excellent analytical, problem-solving, communication, and collaboration skills, with an eagerness to continuously learn and adopt emerging technologies.	 Preferred Qualifications:		Experience with modern frontend frameworks beyond AngularJS (e.g., React, Angular 2+, Vue.js).			Familiarity with Microsoft Azure cloud services and DevOps practices.			Knowledge of relational databases (SQL Server, MySQL) and database integration with .NET applications.			Experience in Microsoft technologies (.NET development, Power Automate, SharePoint).	 Why Join Us:Opportunity to be part of a dynamic team building innovative solutions and integrating cutting-edge technologies.Competitive compensation package, comprehensive benefits, and strong support for professional development and career advancement.A collaborative, engaging work environment that values expertise, innovation, and technological growth.If you're passionate about leveraging the full capabilities of the .NET ecosystem, driven to create robust and innovative business solutions, and eager to expand your skills within a professional and collaborative team, we encourage you to apply for our .NET Engineer role.Key Responsibilities:	Develop, enhance, and maintain high-quality software applications using C#/.NET framework, adhering to best practices and delivering optimal performance.		Create visually appealing, responsive user interfaces using HTML, CSS, and client-side scripting technologies, including jQuery and AngularJS.			Integrate applications and custom-developed tools seamlessly within Microsoft SharePoint environments, enhancing user experience and business productivity.			Utilize VBA to develop custom MS PowerPoint add-ins, enabling advanced functionality, automations, and integrations tailored to business requirements.			Leverage Microsoft Power Automate to design and implement robust workflow automation, streamlining business processes and reducing manual workload.			Parse, consume, and manipulate data using JSON to facilitate smooth data interchange and integration between various software components.			Collaborate closely with project managers, business analysts, UI/UX designers, and cross-functional teams to translate business needs into technical solutions.			Identify, troubleshoot, and resolve technical issues promptly, providing ongoing support, debugging, and continuous improvement of applications.	 Qualifications and Skills:		Bachelor's degree in Computer Science, Software Engineering, Information Technology, or related discipline.			At least 1-2 years of software development experience with strong proficiency in C#, .NET, HTML, and CSS.			Demonstrable experience working with client-side technologies such as jQuery, AngularJS, and data interchange formats such as JSON.			Proven experience in building add-ins or automation tools for Microsoft PowerPoint using VBA.			Strong knowledge and practical experience integrating custom-built solutions into Microsoft SharePoint environments.			Hands-on experience with workflow automation, especially using Microsoft Power Automate.			Ability to manage multiple projects concurrently, balancing priorities effectively and delivering results under tight deadlines.			Excellent analytical, problem-solving, communication, and collaboration skills, with an eagerness to continuously learn and adopt emerging technologies.	 Preferred Qualifications:		Experience with modern frontend frameworks beyond AngularJS (e.g., React, Angular 2+, Vue.js).			Familiarity with Microsoft Azure cloud services and DevOps practices.			Knowledge of relational databases (SQL Server, MySQL) and database integration with .NET applications.			Experience in Microsoft technologies (.NET development, Power Automate, SharePoint).	 Why Join Us:Opportunity to be part of a dynamic team building innovative solutions and integrating cutting-edge technologies.Competitive compensation package, comprehensive benefits, and strong support for professional development and career advancement.A collaborative, engaging work environment that values expertise, innovation, and technological growth.If you're passionate about leveraging the full capabilities of the .NET ecosystem, driven to create robust and innovative business solutions, and eager to expand your skills within a professional and collaborative team, we encourage you to apply for our .NET Engineer role.Hire NowSign UpLogin",Information Technology,"Makati City, National Capital Region (NCR)",Full-time,Kalibrr
43,Full Stack Developer,BOOKIPI PTY LTD,https://www.kalibrr.com/c/bookipi-pty-ltd/jobs/252273/full-stack-developer,"Bookipi is on the hunt for a Senior Full-stack (MERN) Developer with a strong background in architecture and AWS.  In this role, you’ll design, develop, and maintain our web-based and mobile applications, ensuring they are scalable, reliable, and optimized for peak performance.Having grown 10x in the past year, Bookipi needs your expertise to continue scaling successfully.  As a Remote First company, we offer the flexibility of full Work from Home, empowering you to make a significant impact from anywhere in the world. 🏡What you will do:Innovate &amp; Develop: Collaborate with teams to design and deploy scalable MERN stack applications.Architect &amp; Enhance: Lead architectural design and feature implementation, adhering to best practices.Optimize &amp; Maintain: Develop robust APIs, integrate third-party services, and ensure high performance.Streamline &amp; Automate: Implement DevOps practices, manage AWS infrastructure, and enhance CI/CD pipelines.Bookipi is on the hunt for a Senior Full-stack (MERN) Developer with a strong background in architecture and AWS.  In this role, you’ll design, develop, and maintain our web-based and mobile applications, ensuring they are scalable, reliable, and optimized for peak performance.Having grown 10x in the past year, Bookipi needs your expertise to continue scaling successfully.  As a Remote First company, we offer the flexibility of full Work from Home, empowering you to make a significant impact from anywhere in the world. 🏡What you will do:Innovate &amp; Develop: Collaborate with teams to design and deploy scalable MERN stack applications.Architect &amp; Enhance: Lead architectural design and feature implementation, adhering to best practices.Optimize &amp; Maintain: Develop robust APIs, integrate third-party services, and ensure high performance.Streamline &amp; Automate: Implement DevOps practices, manage AWS infrastructure, and enhance CI/CD pipelines.		Proven Expertise: 7+ years in MERN stack development with focus on architecture, DevOps, and AWS.			Technical Proficiency: Strong skills in JavaScript, React.js, Node.js, MongoDB, and AWS services.			DevOps &amp; Cloud Mastery: Extensive experience with AWS, microservices, Docker, Kubernetes, and payment gateways like Stripe.			Proven Expertise: 7+ years in MERN stack development with focus on architecture, DevOps, and AWS.			Technical Proficiency: Strong skills in JavaScript, React.js, Node.js, MongoDB, and AWS services.			DevOps &amp; Cloud Mastery: Extensive experience with AWS, microservices, Docker, Kubernetes, and payment gateways like Stripe.	Hire NowSign UpLogin",Information Technology,"Manila City, National Capital Region (NCR)",Full-time,Kalibrr
44,Python Developer,Teamified,https://www.foundit.com.ph/job/python-developer-teamified-philippines-34325605,"Teamified works with top enterprises and digital native businesses in Australia helping them build their remote teams in India, Philippines and Sri Lanka. We pride ourselves with hiring great teams to work on exciting game changing technology.Teamified currently has 200+ engineers, testers, product managers etc. working across 20+ partners. We focus on uplifting the way organisations build and manage their remote teams through great working relationships, trust, integrity, culture and hiring processes. Additional to this we are building our own technology product offerings. We strive to deliver the best outcomes for our customers, our partners and our people.Client Summary:Our client is an Australian FinTech company that provides a platform for business credit cards and spend management. In essence, they offer a modern alternative to traditional corporate cards, designed to simplify spending for businesses, save time and money on financial administration, and give businesses greater control and visibility over their expenses. Their key services include providing Mastercard-powered credit cards to businesses, which can be issued to employees, and a spend management platform that allows businesses to track spending in real-time, capture receipts, categorize expenses, and automate reconciliation with accounting software. Our client also enables employees to use a mobile app to upload receipts and add notes, streamlining the expense reporting process.Notably, our client does not charge any foreign transaction fee mark-ups and integrates with popular accounting software like Xero and SAP Concur. Additionally, our client provides controls and oversight features, allowing businesses to set spending limits, and lock or freeze cards. Our clients users can also earn Velocity Points on eligible spending.Job DescriptionRole:Seeking a passionate Senior Backend Engineer to drive implementation in a collaborative, fast-paced setting. The role involves translating technical challenges into business solutions, working with cross-functional teams, and contributing to a team that values communication and knowledge sharing. Strong technical skills and the ability to articulate ideas are crucial.Responsibilities: Design, develop, and maintain robust backend systems using Python/Django Architect and implement scalable API services and database models Collaborate with DevOps to deploy and maintain services in GCP and Kubernetes environments Write clean, maintainable, and well-tested code Debug and resolve complex issues in production systems Contribute to architectural decisions that shape the platform&amp;aposs future Optimise system performance and address technical debt Work closely with product and commercial teams to translate business requirements into technical solutions Participate in code reviews to maintain high standards of code quality Implement and maintain CI/CD pipelines for backend servicesRequirements: 5+ years of experience in backend development with Python Strong proficiency with Django and Django REST Framework Solid understanding of relational databases (PostgreSQL preferred) Experience with GCP services (Cloud Run, Cloud SQL, Cloud Storage, etc.) Knowledge of containerisation technologies (Docker) Familiarity with Kubernetes and container orchestration Understanding of RESTful API design principles Experience with version control systems (Git) Ability to work independently and take ownership of projects*Key Competencies Experience with CI/CD tools and practices Knowledge of infrastructure as code (Terraform) Experience with monitoring and observability tools Understanding of microservice architecture patterns Experience with asynchronous processing and message queues Background in fintech or financial systems Contributions to open-source projectsBenefits PH 13th Month Pay HMO Leave BenefitsSkills and are eager to contribute to our teams success, we encourage you to apply for this exciting opportunity. Apply now!                       Show more                                              Show less",,"Quezon City, National Capital Region (NCR)",Full-time,Foundit
45,Python Developer,Bryd,https://www.foundit.com.ph/job/python-developer-bryd-philippines-34282206,"About the JobWe&amp;aposre looking for a Python Developer to join our growing engineering team. Youll focus on developing custom Slack applications and integrations that solve real business problems for our clientsranging from hypergrowth startups to global enterprises. This is a unique opportunity to build high-impact apps that sit at the intersection of collaboration, automation, and AI.About BrydBryd is a premier global Slack-first Salesforce partner, dedicated to transforming workplace productivity and customer results through advanced solutions across both platforms. With a team of ex-Slack and Salesforce experts, we provide unmatched consulting, implementation, and custom application development to help businesses unlock the full potential of Slack, Salesforce, and AI-driven automation.We are at the forefront of building Slack-first AI agents that revolutionize how teams collaborate, automate processes, and drive efficiency. Slack is the future of the Salesforce ecosystem, and this role provides a front-row seat to that transformation. This is not just another developer rolebut a chance to join a rocket-ship startup thats doubled in growth in six months, working with top-tier clients all over the world.Key ResponsibilitiesDesign and build scalable Slack apps using Python and Slacks SDKs (Bolt, Flask, etc.)Integrate with external APIs (e.g., Salesforce, Jira, Notion, Google Workspace)Maintain and improve existing app infrastructure with a focus on performance and securityCollaborate with cross-functional teams to deliver new features and enhancementsWrite clean, testable, and well-documented codeParticipate in sprint planning, code reviews, and technical design discussionsStay updated with Slack API changes and best practices in app developmentMust-Have QualificationsAt least 5+ years of professional Python development experienceStrong experience with REST APIs, webhooks, and backend frameworks like Flask or FastAPIExperience with Slack app development using Bolt for Python or similar SDKsFamiliarity with OAuth2, token management, and secure authentication flowsExperience deploying apps on platforms like Heroku, AWS, or similarStrong understanding of Git, CI/CD, and agile workflowsExcellent communication and problem-solving skillsNice-to-HavesExperience integrating with Salesforce or other CRMsFamiliarity with Slack features like Modals, Home tabs, Slash commands, and Block KitKnowledge of JavaScript/TypeScript and Node.js for cross-platform Slack developmentHands-on experience with Slacks new CLI and Slack FunctionsUnderstanding of event-driven architectures, webhooks, and Socket ModeWorking knowledge of JSON, OAuth 2.0, and token managementExposure to GraphQL APIs and advanced data handlingExperience deploying on serverless infrastructure (e.g., AWS Lambda)Familiarity with observability tools (e.g., Sentry, Datadog) for error trackingContribution to open-source Slack apps or public GitHub projectsInterest in or experience with Slack AI and GPT-powered workflowsPerks &amp; BenefitsCompetitive local salary + performance bonusesWork-from-anywhere policy with flexible hoursPaid time off and public holiday swapsLearning budget for certifications, tools, and coursesDirect mentorship from ex-Slack engineers and consultantsOpportunity to work on high-impact projects for global brandsFast-paced, collaborative startup environment                       Show more                                              Show less",,"Manila City, National Capital Region (NCR)",Full-time,Foundit
46,Odoo and Python Developer,Yello X Supply Chain Solutions,https://www.foundit.com.ph/job/odoo-and-python-developer-yello-x-supply-chain-solutions-philippines-34284542,"Company DescriptionYelloX Supply Chain Solutions is focused on optimizing supply chain operations through a solutions-based approach. We are your partner in supply chain management. We are your one-stop solution for supply chain challenges. Our technology-driven approach ensures that your products get from the source to the customer quickly, safely, efficiently, and in perfect condition. We help you save time, reduce costs, and improve customer satisfaction. Whether you&amp;aposre selling online, managing a warehouse, or providing transportation logistics, we can help you optimize and streamline your operations, and maximize profit margin.We have been constantly innovating and expanding our services to meet the diverse and dynamic demands of our clients. Whether it is e-commerce, warehousing, transport or distribution, we have the expertise, the network and the tools to deliver efficient and reliable business solutions.Role DescriptionThis is a project-based role for an Odoo and Python Developer. The Odoo and Python Developer will be responsible for back-end web development and system development. The role requires working closely with a business analyst to deliver high-quality solutions.QualificationsExperience in Back-End Web Development and System Development using Odoo and Python.Proficiency in Database management and integrationExcellent problem-solving and analytical skillsTeam player with strong collaboration skillsBachelor&amp;aposs degree in Computer Science, Engineering, or related field                       Show more                                              Show less",,Central Visayas (Region VII),Full-time,Foundit
47,Senior Python Developer,iSupport Worldwide,https://www.foundit.com.ph/job/senior-python-developer-isupport-worldwide-philippines-34308130,"Be a part of our fast-growing team and unchain all the possibilities!What is your missionWe are looking for aSenior Python Developer. In this role, you will be responsible for the development, customization, and maintenance of Odoo modules, as well as the integration of AI-driven solutions to enhance business processes. You will work closely with the IT Director and collaborate with various teams to implement solutions that align with our companys objectives and technological goals.You will provide the best service to our partner client by performing these tasks:Design, develop, and customize Odoo modules to meet business requirements.Integrate AI technologies with Odoo for process automation, predictive analytics, and improved decision-making.Partner with DevOps and IT teams for the deployment and maintenance of Odoo systems.Troubleshoot and resolve issues and bugs related to Odoo.Document technical designs, processes, and changes in code.Provide continuous support for system improvements, including AI-driven features.Contribute to system analysis and design, utilizing AI insights.Stay informed about the latest advancements in AI, machine learning, and ERP systems.Who are we looking forBachelors degree in Computer Science, Information Technology, or a related field.At least 5 years of experience in Python or Odoo development and implementation.Proven expertise in AI technologies such as machine learning, natural language processing, or predictive analytics.Strong proficiency in Python or the Odoo framework.Familiarity with PostgreSQL, XML, JavaScript, and other Odoo technologies.Solid experience in the full Software Development Life Cycle (SDLC).Knowledge of AI tools and frameworks like TensorFlow, PyTorch, or OpenAI.Exceptional problem-solving abilities and analytical thinking.Must be available for full-time, onsite work in Ortigas, Pasig City.Strong communication skills for effective collaboration with cross-functional teams and clients.A collaborative mindset and a passion for teamwork.Experience with Agile methodologies is a plus.Company PerksAbove-industry salary package and incentivesComprehensive HMO benefits and life insurance from day 1Free learning and development courses for your personal and career growthDynamic company eventsOpportunities for promotionFree meals and snacks                       Show more                                              Show less",,Philippines,Full-time,Foundit
48,Senior Python Developer,Intellectsoft,https://www.foundit.com.ph/job/senior-python-developer-intellectsoft-philippines-34278722,"Intellectsoft is a software development company delivering innovative solutions since 2007. We operate across North America, Latin America, the Nordic region, the UK, and Europe.We specialize in industries like Fintech, Healthcare, EdTech, Construction, Hospitality, and more, partnering with startups, mid-sized businesses, and Fortune 500 companies to drive growth and scalability. Our clients include Jaguar Motors, Universal Pictures, Harley-Davidson, Qualcomm, and London Stock Exchange.Together, our team delivers solutions that make a difference. Learn more at www.intellectsoft.netOur customer's product is an AI-powered platform that helps businesses make better decisions and work more efficiently. It uses advanced analytics and machine learning to analyze large amounts of data and provide useful insights and predictions. The platform is widely used in various industries, including healthcare, to optimize processes, improve customer experiences, and support innovation. It integrates easily with existing systems, making it easier for teams to make quick, data-driven decisions to deliver cutting-edge solutions.RequirementsA degree in computer science or a related fieldAt least 5 years of experience in software developmentProficient in Python, especially with FastAPI or similar frameworks like Flask and DjangoSkilled in building scalable backend systems, APIs, and microservicesGood problem-solving skills and ability to work well in a fast-paced, collaborative environmentUnderstanding of AI/ML concepts and experience integrating AI models into backend servicesExcellent communication skills and EnglishNice to haveExperience with cloud services (AWS, GCP, Azure) and containerization (Docker, Kubernetes)Familiarity with databases (SQL, NoSQL)Experience in UI development using ReactJS would be a plusResponsibilitiesCrafting and deploying scalable backend systems, APIs, and microservicesEnforcing software development best practices, verifying design compliance with requirements, and ensuring timely delivery of high-quality workCoding backend applications using Python, SQL, and NoSQL databasesResolving issues within the backend application codeDesigning and executing backend architectureDocumenting application modifications and creating updatesBenefits35 absence days per year for work-life balanceUdemy courses of your choiceEnglish courses with native-speakerRegular soft-skills trainingsExcellence enters meetupsOnline/offline team-buildings",,Philippines,Full-time,Foundit
49,Python Developer,"Risewave Consulting, Inc.",https://www.foundit.com.ph/job/python-developer-risewave-consulting-inc-taguig-34197729,"Key Accountabilities and Duties Analyze client requirements and provide inputs in planning appropriate technical solution with a focus in accuracy, build efficiency and maintainability of calculation, implementation, and letter of configuration. Deliver technical solutions for calculation automation implementation and letter configuration for new clients and enhancement support to existing clients under the supervision of senior team members. Resolve routine issues, escalating more complex problems to senior team members as appropriate. Collaborate with several teams and developers, communication what is required in support to what is required in the implementation with the supervision from senior team members.Developer in-depth knowledge in the different aspect for pension calculation development and letters configuration. Remain up to date with business and legislative requirements and interprets the practical impact to calculation development and letters configuration. Develop relationships with other business areas to gain a strong understanding of products and services as well as key business processes. Share best practices of coding and development with the team to encourage continuous improvement and innovation. Work in line with ISO standards, TAS system, process and quality requirements and company's guidelines. Job RequirementsHas 3-5 years of experience in software development (Python and OOP). Knowledge in Unix (Linux/AIX), Oracle, and SQL. Knowledge in Object Oriented Programming (OOP) concepts applied in Python. Familiarity on source code control systems. Familiarity on code quality, performance, and security. Knowledgeable on DB and DC occupational pension schemes and how it translates to pension calculation and letter configuration. Experience in developing and managing the delivery of system/software development projects in a structured environment throughout the entire lifecycle including QA. Willing to work remotely and must also able to travel if only required. Strong written and verbal communication skills.",,"Taguig City, National Capital Region (NCR)",Full-time,Foundit
50,Senior Python Developer (An),Intellectsoft,https://www.foundit.com.ph/job/senior-python-developer-an-intellectsoft-philippines-34195785,"Intellectsoft is a software development company delivering innovative solutions since 2007. We operate across North America, Latin America, the Nordic region, the UK, and Europe.We specialize in industries like Fintech, Healthcare, EdTech, Construction, Hospitality, and more, partnering with startups, mid-sized businesses, and Fortune 500 companies to drive growth and scalability. Our clients include Jaguar Motors, Universal Pictures, Harley-Davidson, Qualcomm, and London Stock Exchange.Together, our team delivers solutions that make a difference. Learn more at www.intellectsoft.netOur customer&amp;aposs product is an AI-powered platform that helps businesses make better decisions and work more efficiently. It uses advanced analytics and machine learning to analyze large amounts of data and provide useful insights and predictions. The platform is widely used in various industries, including healthcare, to optimize processes, improve customer experiences, and support innovation. It integrates easily with existing systems, making it easier for teams to make quick, data-driven decisions to deliver cutting-edge solutions.RequirementsA degree in computer science or a related fieldAt least 5 years of experience in software developmentProficient in Python, especially with FastAPI or similar frameworks like Flask and DjangoSkilled in building scalable backend systems, APIs, and microservicesGood problem-solving skills and ability to work well in a fast-paced, collaborative environmentUnderstanding of AI/ML concepts and experience integrating AI models into backend servicesExcellent communication skills and EnglishNice to haveExperience with cloud services (AWS, GCP, Azure) and containerization (Docker, Kubernetes)Familiarity with databases (SQL, NoSQL)Experience in UI development using ReactJS would be a plusResponsibilitiesCrafting and deploying scalable backend systems, APIs, and microservicesEnforcing software development best practices, verifying design compliance with requirements, and ensuring timely delivery of high-quality workCoding backend applications using Python, SQL, and NoSQL databasesResolving issues within the backend application codeDesigning and executing backend architectureDocumenting application modifications and creating updatesBenefits35 absence days per year for work-life balanceUdemy courses of your choiceEnglish courses with native-speakerRegular soft-skills trainingsExcellence enters meetupsOnline/offline team-buildings                       Show more                                              Show less",,Philippines,Full-time,Foundit
51,Jr to Mid .NET or Python Developer with Flutter - Start ASAP,Outsourced,https://www.foundit.com.ph/job/jr-to-mid-net-or-python-developer-with-flutter-start-asap-outsourced-philippines-34196633,"Job SummaryJr to Mid .NET or Python Developer with Flutter - Immediate Start AvailableJob DescriptionCompany DescriptionOutsourced.ph is a leading ISO certified Philippines offshore outsourcing company that provides dedicated remote staff to some of the world&amp;aposs leading international companies. Outsourced is recognized as one of the Best Places to Work and has achieved Great Place to Work Certification. We are committed to providing a positive and supportive work environment where all staff can thrive. As an Outsourced staff member, you will enjoy a fun and friendly working environment, competitive salaries, opportunities for growth and development, work-life balance, and the chance to share your passion with a team of over 1000 talented professionals.The ClientA workflow software company developing myFLO. Our team consists of Filipino developers, supported by senior developers in Australia. As a fully online team, we maintain constant communication throughout the day to collaborate on development changes and updates efficiently.Need To HaveDevelopment environments required to be familiar with Flutter, MSSQ, .Net OR Python, JavaScript, jQuery and Bootstrap at least 2 yearsNice to have unipassWilling to learn new technologyDuties &amp; ResponsibilitiesSoftware development using .net, flutter, MSSQL, or python, JavaScript, bootstrap and unipaasWilling to learn a new technology UnipassDeveloping &amp; documenting processes and procedures for items that have been developedAnalyse client processes and design development and implementation strategiesWork in a team  will need excellent communication skills with the ability to work independently. Need to be reliableThe programming will entail developing dashboard reports using SQL, developing software application full stack development front and back end.Ability to work independently and as part of a team.Attention to detail is vitalTesting end to end and testing scenarios on local and staging environments Deployment to LIVE systems Problem solving / A keen eye for detail and the ability to troubleshoot and solve complex technical issues.Stick to a timeline (Timely manner)Ability to convert programming language to customer level understanding and submit documentationAbility to work under pressureImplement high-performance, reusable, and maintainable codeOptimize front-end performance for fast loading and smooth user interactionsWork Schedule: Monday- Friday 6am-3pm PH time Work Location: Homebased; equipment is providedBy clicking on the ""I&amp;aposm Interested"" button I hereby allow Outsourced Quality Assured Services, Inc. (""Outsourced"") to store and collect my personal information for the purposes of employment application. As such, I agree and authorize Outsourced to collect, store, or continue to use my personal information for the above-stated purpose, and to retain my personal information for a period of 1 year, and for these purposes only.                                Show more                                              Show less",,Philippines,Full-time,Foundit
52,PYTHON DEVELOPER - WFH/HYBRID,Minion Solutions Inc,https://www.foundit.com.ph/job/python-developer-wfh-hybrid-minion-solutions-inc-makati-city-34105506,"Tasks:Design, develop, and maintain the server-side logic of web applications.Implement scalable and efficient components and APIsWork with relational and/or NoSQL databases to store and retrieve data efficientlyDesign and optimize database schemas for performance and scalabilityIntegrate third-party APIs and web services to enhance application functionalityDevelop custom APIs to facilitate communication between front-end and back-end systemsImplement security best practices to protect against common web application vulnerabilitiesConduct regular security audits and implement necessary measuresOptimize server-side code for maximum speed and scalabilityMonitor and troubleshoot performance issuesTest server-side components to identify and fix bugsCollaborate with Frontend developers, Project Managers, and UX Teams to deliver high-quality web applicationsCreate clear and comprehensive documentation for back-end systems and APIsManage code versioning and collaboration using GitRequirements:Proficiency in Python server-side programming.Proficiency in working with various database systems, including MySQL, PostgreSQL, NoSQL,Cloud SQL, and MongoDB).Proficiency in frameworks such as FastAPI, Flask, or Django.Familiarity with Argo for managing and automating workflows.Experienced in Azure or GCP cloud platformsKnowledgeable in DevOps and CI/CD practicesProven experience in back-end development and building scalable web applications.Strong analytical and problem-solving skills with attention to detail.Effective communication skills to collaborate with cross-functional teams.Ability to adapt to changing project requirements and technologies.",,"Makati City, National Capital Region (NCR)",Full-time,Foundit
53,Python Developer junior to senior level,First Digital Finance Corporation,https://www.foundit.com.ph/job/python-developer-junior-to-senior-level-first-digital-finance-corporation-metro-manila-ncr-34055646,"Our ideal candidate has 1-5+ years of experience as a software developer Expert in Python, with knowledge of at least one Python web framework (such as Django or Flask) Good SQL skills (PostgreSQL) Understanding container technology (Docker) Familiarity with some ORM (Object Relational Mapper) libraries Able to integrate multiple data sources and databases into one system Understanding of the threading limitations of Python, and multi-process architecture Good understanding of server-side templating languages (such as Jinja 2, Mako, etc) Good understanding of front-end technologies, such as JavaScript, HTML5, and CSS3 (Vue.js, Angular frameworks) Understanding of accessibility and security complianceKnowledge of user authentication and authorization between multiple systems, servers, and environments Understanding of fundamental design principles behind a scalable application Familiarity with event-driven programming in Python Understanding of the differences between multiple delivery platforms, such as mobile vs desktop, and optimizing output to match the specific platform Able to create database schemas that represent and support business processes Strong unit test and debugging skills Proficient understanding of code versioning tools (Git) Excellent time management and multitasking skills Good analytical and problem-solving skills",,"Manila City, National Capital Region (NCR)",Full-time,Foundit
